"Id","SalePrice"
1461,119126.926763803
1462,158197.038539565
1463,180922.308620285
1464,196803.94288014
1465,187045.69431531
1466,166928.319030198
1467,171135.574031106
1468,160578.912612152
1469,194996.929715116
1470,113932.431359266
1471,197794.017561718
1472,97026.7691385348
1473,94508.8890415789
1474,145241.388486853
1475,110525.955115733
1476,357782.885184861
1477,244457.287850361
1478,302660.679196164
1479,285163.208522373
1480,488696.537438721
1481,318200.173077293
1482,208088.448582051
1483,181123.597569686
1484,154324.206949898
1485,191772.074495797
1486,194912.508834316
1487,320168.830312163
1488,234529.22155263
1489,187787.305691001
1490,233266.58429407
1491,188405.555432328
1492,89959.8148696513
1493,158627.859743188
1494,291311.358424766
1495,287729.354002809
1496,218579.418574021
1497,184072.570710516
1498,156940.781762571
1499,155410.015037291
1500,153214.901456659
1501,170382.982782004
1502,144078.191168271
1503,284142.372754806
1504,231820.008413303
1505,215582.931512216
1506,197123.052456724
1507,248374.100218048
1508,202167.992419462
1509,159262.586143595
1510,138338.012856976
1511,145564.239140599
1512,175533.528825367
1513,141103.174473074
1514,153707.064849162
1515,202158.320643018
1516,158973.867169137
1517,167588.749214951
1518,129451.869071168
1519,199920.255106078
1520,123465.175662403
1521,130772.660306427
1522,185850.414688981
1523,110339.089805685
1524,129676.287243529
1525,117849.305177227
1526,112624.399237878
1527,98726.7857778702
1528,144444.4530285
1529,140363.432140583
1530,173210.880007106
1531,107214.382559644
1532,106641.750813334
1533,159837.017085087
1534,127079.857411729
1535,159282.951746298
1536,111705.871308208
1537,58057.8803656831
1538,158056.690563022
1539,197928.712045572
1540,98041.1853926042
1541,146786.259527808
1542,134404.758824844
1543,187007.52932916
1544,85592.8183059559
1545,107651.015537985
1546,129807.381823878
1547,133136.216489995
1548,135295.626851906
1549,109285.665452854
1550,123852.853674386
1551,113681.596189191
1552,126747.282052664
1553,155055.739957108
1554,113121.497140208
1555,168221.207173803
1556,80833.3950365662
1557,101275.270680934
1558,98000.6161213739
1559,80290.5201244739
1560,131714.121038316
1561,124232.166219317
1562,129852.887833331
1563,119329.18728529
1564,163671.910270359
1565,140534.424885268
1566,250029.975931495
1567,74111.5301387255
1568,224885.559335389
1569,134454.729670782
1570,143590.995025793
1571,125766.81279902
1572,146011.096462034
1573,259182.274734629
1574,117506.525111979
1575,243612.188984064
1576,263360.397432089
1577,179664.451105024
1578,140909.91920828
1579,140922.52816168
1580,191557.780041529
1581,160060.748520211
1582,120228.442486966
1583,305201.050426383
1584,211214.164511808
1585,135887.556549332
1586,63713.6253226494
1587,99423.1907620411
1588,146526.545906545
1589,97180.5904731629
1590,140662.985196872
1591,97556.7660464496
1592,120482.039375743
1593,123353.709617574
1594,121651.977366904
1595,101603.782430663
1596,206634.690565052
1597,167871.169345342
1598,215999.828079078
1599,169494.312400351
1600,165243.251615239
1601,69638.6031431413
1602,113014.026040866
1603,86443.1719517391
1604,254645.080093783
1605,256667.694544508
1606,170954.329550639
1607,178555.175723687
1608,222570.469317641
1609,180455.639340796
1610,144855.072011223
1611,144890.356081986
1612,173280.334652466
1613,166188.60059485
1614,124818.814069368
1615,95617.612653377
1616,83402.9600060707
1617,97580.6732505996
1618,122124.044834233
1619,134614.921285197
1620,143069.720322595
1621,141250.638802714
1622,134955.553082107
1623,262943.2147286
1624,215986.891042298
1625,114558.196467261
1626,169644.839593775
1627,189987.030410741
1628,274736.004279798
1629,175643.28433129
1630,344096.057040517
1631,212342.323839041
1632,234452.577774493
1633,166213.742659819
1634,183170.435418809
1635,178674.381841457
1636,152133.383653853
1637,207605.46324796
1638,188535.777789883
1639,189505.437502747
1640,265277.733874387
1641,184728.04354329
1642,235840.878633676
1643,214919.382192937
1644,223943.730060668
1645,208696.863319084
1646,155472.147528329
1647,159260.169546532
1648,125669.606924142
1649,142127.65038258
1650,104373.170254453
1651,117933.003903363
1652,101206.729734331
1653,105193.418328775
1654,138045.398017249
1655,135552.680783251
1656,137323.248570826
1657,141982.033937317
1658,136933.144700013
1659,110443.584022309
1660,148878.451858924
1661,474926.882955155
1662,399865.449209986
1663,377696.299138312
1664,559482.644398242
1665,305095.587613204
1666,306518.042631757
1667,369979.883981585
1668,332934.282337731
1669,296457.271970008
1670,334869.607548525
1671,249477.580504471
1672,423617.584723328
1673,285210.049887445
1674,240908.471933438
1675,191007.068809912
1676,194256.806705196
1677,218407.38316219
1678,473878.123162854
1679,370770.368573165
1680,327301.27094971
1681,237781.700144543
1682,287567.381990922
1683,178492.61237068
1684,186906.91037767
1685,174087.69508762
1686,165728.441212143
1687,169555.455327627
1688,188079.28519779
1689,193332.650134886
1690,198540.966619112
1691,185552.100014769
1692,272013.192286365
1693,181031.332192617
1694,181570.58006327
1695,158916.222977895
1696,279143.305209283
1697,166948.50449083
1698,329808.688381716
1699,300930.989363823
1700,233000.407323718
1701,261501.685268939
1702,250027.221718616
1703,246902.151099205
1704,273260.961237411
1705,230436.574222501
1706,440533.919059147
1707,202826.037669758
1708,192512.818058561
1709,265410.261245589
1710,221457.662331773
1711,268740.621164156
1712,248467.307937632
1713,263474.48347098
1714,214431.997479272
1715,200824.980724843
1716,181752.666039967
1717,173187.456923908
1718,143938.625942126
1719,197679.656010762
1720,224905.603090736
1721,163199.317057904
1722,132931.679433978
1723,157486.572740046
1724,203851.592255997
1725,228463.154458502
1726,185320.849048922
1727,160021.501769626
1728,172712.658713532
1729,162716.160328888
1730,155155.397940322
1731,120508.122116893
1732,118488.268169824
1733,113847.324542937
1734,119953.622175191
1735,124997.248873649
1736,106259.189724007
1737,304482.073871702
1738,241252.676242401
1739,256260.816835522
1740,212791.89795278
1741,186990.646192408
1742,170656.852244285
1743,173737.764697418
1744,321606.908082972
1745,214766.917712827
1746,193364.630533016
1747,224076.589978884
1748,240880.4206965
1749,140349.7700468
1750,126648.188254538
1751,264313.819973047
1752,115517.645054845
1753,149626.718065626
1754,192406.012539814
1755,171450.404355465
1756,119857.325299135
1757,117701.706084658
1758,142179.881796866
1759,163314.721603105
1760,159636.676597368
1761,152150.624176395
1762,171035.687540248
1763,178389.733870552
1764,111704.691128396
1765,175080.320781483
1766,184082.670717974
1767,238027.635203446
1768,138599.380371196
1769,176826.739396252
1770,155250.111710517
1771,113761.24933283
1772,140719.645506745
1773,123469.409560511
1774,147328.06435949
1775,135533.369447324
1776,125568.663654258
1777,106251.867369338
1778,142970.996785092
1779,110577.956975948
1780,188032.158032358
1781,127390.290012632
1782,86734.2044433362
